Frequence,Quantite,Montant,Cluster
1,74215,77183.6,2
7,2458,4310.0,1
4,2332,1437.24,1
1,630,1457.55,1
1,196,294.4,1
7,526,1385.74,1
1,20,89.0,1
1,530,1079.4,1
1,240,459.4,1
3,1573,2487.43,1
1,2708,6207.67,1
2,242,928.0600000000001,1
4,1622,6372.58,1
3,1156,2302.06,1
1,90,174.9,1
10,2197,4737.23,1
2,408,552.0,1
4,1499,1208.1,1
1,173,320.69,1
1,172,150.9,1
4,2350,3425.69,1
1,582,1527.96,1
3,788,1196.04,1
1,196,324.6,1
1,339,622.93,1
2,176,377.5,1
2,942,1548.12,1
1,2529,4008.62,1
2,402,777.24,1
4,1110,2427.81,1
3,797,1474.81,1
5,1518,1628.56,1
2,122,425.27000000000004,1
2,354,401.9,1
6,1462,2780.66,1
1,350,504.84000000000003,1
1,300,460.89,1
4,816,1582.6000000000001,1
2,808,1080.48,1
12,2097,2682.63,1
2,1250,2214.9,1
1,1389,1435.66,1
4,1173,1033.65,1
1,10,69.3,1
1,92,195.6,1
1,94,391.7,1
1,849,1390.39,1
2,1818,3415.3,1
5,1403,1507.1200000000001,1
5,1391,2618.55,1
3,5551,11072.67,1
2,207,533.33,1
3,824,1142.88,1
3,282,686.1,1
3,297,442.41,1
20,77669,124564.53,2
9,1527,3226.1,1
1,407,668.58,1
1,345,600.39,1
4,478,639.04,1
3,367,683.5600000000001,1
8,1324,1634.31,1
2,740,1760.96,1
1,496,777.2,1
1,254,510.73,1
3,526,699.8,1
8,3509,6405.26,1
4,1538,3388.4,1
1,116,216.4,1
15,2911,6382.45,1
4,1800,4359.32,1
7,11071,13375.87,1
2,394,806.14,1
2,2055,7829.89,1
1,209,429.01000000000005,1
18,2894,4447.41,1
2,1169,2466.85,1
1,120,155.55,1
1,181,144.06,1
5,1132,4085.46,1
1,60,77.4,1
1,351,1002.3100000000001,1
1,187,431.49,1
1,240,365.45,1
4,1523,3596.29,1
2,128,197.88,1
5,6574,8995.52,1
1,181,348.57,1
1,473,707.09,1
1,1006,3528.34,1
5,2084,2339.86,1
3,1618,2581.04,1
6,836,2043.23,1
2,502,787.4,1
1,282,626.88,1
2,527,937.59,1
4,768,1200.78,1
8,95,957.05,1
2,475,682.1899999999999,1
2,362,657.54,1
27,8104,17424.05,1
7,4120,6068.11,1
3,2419,2596.23,1
18,4812,6745.79,1
1,532,669.38,1
11,2357,5898.42,1
6,3653,13219.74,1
1,233,545.99,1
1,382,473.2,1
4,1685,2885.63,1
10,3272,5020.32,1
8,1094,1910.98,1
4,2170,3953.72,1
3,526,1244.66,1
1,103,298.93,1
10,3033,4859.93,1
1,258,424.40000000000003,1
2,190,227.21,1
2,204,379.74,1
7,698,1084.1000000000001,1
1,1231,953.1,1
3,156,349.70000000000005,1
11,2667,4059.82,1
1,1775,2025.39,1
5,794,2995.87,1
2,87,428.04999999999995,1
1,23,73.5,1
3,896,1052.81,1
2,272,398.27,1
1,54,158.5,1
2,347,814.5699999999999,1
2,99,138.03,1
1,459,558.29,1
1,440,1017.68,1
1,128,278.7,1
2,868,1186.06,1
4,1361,2322.84,1
5,1306,1840.89,1
1,180,286.84,1
5,1423,2346.2599999999998,1
1,306,545.68,1
2,192,156.72,1
11,860,1699.77,1
8,3669,3945.72,1
3,624,1172.66,1
3,233,330.71000000000004,1
6,740,1645.48,1
4,904,1500.28,1
1,45,125.22,1
1,151,313.83000000000004,1
1,645,981.18,1
2,219,716.35,1
1,2801,4279.71,1
1,191,363.95,1
4,2067,5568.35,1
17,6620,11580.24,1
3,675,841.18,1
1,134,316.7,1
2,517,832.39,1
2,628,1021.5,1
2,132,151.79999999999998,1
1,48,67.19999999999999,1
1,564,824.83,1
1,100,168.0,1
