Frequence,Quantite,Montant
1,74215,77183.6
7,2458,4310.0
4,2332,1437.24
1,630,1457.55
1,196,294.4
7,526,1385.74
1,20,89.0
1,530,1079.4
1,240,459.4
3,1573,2487.43
1,2708,6207.67
2,242,928.0600000000001
4,1622,6372.58
3,1156,2302.06
1,90,174.9
10,2197,4737.23
2,408,552.0
4,1499,1208.1
1,173,320.69
1,172,150.9
4,2350,3425.69
1,582,1527.96
3,788,1196.04
1,196,324.6
1,339,622.93
2,176,377.5
2,942,1548.12
1,2529,4008.62
2,402,777.24
4,1110,2427.81
3,797,1474.81
5,1518,1628.56
2,122,425.27000000000004
2,354,401.9
6,1462,2780.66
1,350,504.84000000000003
1,300,460.89
4,816,1582.6000000000001
2,808,1080.48
12,2097,2682.63
2,1250,2214.9
1,1389,1435.66
4,1173,1033.65
1,10,69.3
1,92,195.6
1,94,391.7
1,849,1390.39
2,1818,3415.3
5,1403,1507.1200000000001
5,1391,2618.55
3,5551,11072.67
2,207,533.33
3,824,1142.88
3,282,686.1
3,297,442.41
20,77669,124564.53
9,1527,3226.1
1,407,668.58
1,345,600.39
4,478,639.04
3,367,683.5600000000001
8,1324,1634.31
2,740,1760.96
1,496,777.2
1,254,510.73
3,526,699.8
8,3509,6405.26
4,1538,3388.4
1,116,216.4
15,2911,6382.45
4,1800,4359.32
7,11071,13375.87
2,394,806.14
2,2055,7829.89
1,209,429.01000000000005
18,2894,4447.41
2,1169,2466.85
1,120,155.55
1,181,144.06
5,1132,4085.46
1,60,77.4
1,351,1002.3100000000001
1,187,431.49
1,240,365.45
4,1523,3596.29
2,128,197.88
5,6574,8995.52
1,181,348.57
1,473,707.09
1,1006,3528.34
5,2084,2339.86
3,1618,2581.04
6,836,2043.23
2,502,787.4
1,282,626.88
2,527,937.59
4,768,1200.78
8,95,957.05
2,475,682.1899999999999
2,362,657.54
27,8104,17424.05
7,4120,6068.11
3,2419,2596.23
18,4812,6745.79
1,532,669.38
11,2357,5898.42
6,3653,13219.74
1,233,545.99
1,382,473.2
4,1685,2885.63
10,3272,5020.32
8,1094,1910.98
4,2170,3953.72
3,526,1244.66
1,103,298.93
10,3033,4859.93
1,258,424.40000000000003
2,190,227.21
2,204,379.74
7,698,1084.1000000000001
1,1231,953.1
3,156,349.70000000000005
11,2667,4059.82
1,1775,2025.39
5,794,2995.87
2,87,428.04999999999995
1,23,73.5
3,896,1052.81
2,272,398.27
1,54,158.5
2,347,814.5699999999999
2,99,138.03
1,459,558.29
1,440,1017.68
1,128,278.7
2,868,1186.06
4,1361,2322.84
5,1306,1840.89
1,180,286.84
5,1423,2346.2599999999998
1,306,545.68
2,192,156.72
11,860,1699.77
8,3669,3945.72
3,624,1172.66
3,233,330.71000000000004
6,740,1645.48
4,904,1500.28
1,45,125.22
1,151,313.83000000000004
1,645,981.18
2,219,716.35
1,2801,4279.71
1,191,363.95
4,2067,5568.35
17,6620,11580.24
3,675,841.18
1,134,316.7
2,517,832.39
2,628,1021.5
2,132,151.79999999999998
1,48,67.19999999999999
1,564,824.83
1,100,168.0
1,85,317.82
10,1942,3278.28
2,358,603.71
5,4384,11990.960000000001
1,196,269.96
2,281,525.71
2,1098,1918.01
1,177,238.85
7,1757,3385.7400000000002
1,130,402.9
1,80,145.92
1,262,297.65
10,4261,8609.28
32,1747,3152.69
2,523,519.61
2,446,912.42
1,84,160.54000000000002
1,59,182.45000000000002
5,967,1315.83
3,471,653.85
2,1182,2402.51
1,282,386.42
1,236,379.7
1,160,179.71
2,296,351.36
15,5028,6705.38
9,413,2254.15
2,1267,1824.1
1,79,196.94000000000003
1,50,104.0
1,52,174.89999999999998
2,302,574.68
1,4282,9341.26
1,225,368.85
2,288,401.6
3,204,382.09999999999997
9,1772,3208.2200000000003
2,468,450.27
4,2214,3195.22
7,1952,2807.08
7,948,888.58
10,758,2311.04
5,240,487.06
1,162,153.12
1,56,613.1999999999999
2,200,236.18
1,1228,1579.51
