InvoiceNo,CustomerID,Customer basket,Recommended Product,Product description,Probability,Price estimation
536365,17850.0,"['84406B', '22752', '21730', '84029G', '85123A', '71053', '84029E']",0,Null,0.0,0.0
536366,17850.0,"['22633', '22632']",0,Null,0.0,0.0
536367,13047.0,"['22749', '21754', '22745', '22310', '48187', '84969', '22623', '22748', '22622', '21777', '21755', '84879']",0,Null,0.0,0.0
536368,13047.0,"['22914', '22913', '22960', '22912']",0,Null,0.0,0.0
536369,13047.0,['21756'],0,Null,0.0,0.0
536370,12583.0,"['21035', '22659', '22540', '22900', '21791', '21883', '22631', '21724', '22544', '22661', '22726', '22727', '10002', '22629', '21731', '22728', '22326', '21913', '22492']",22630,DOLLY GIRL LUNCH BOX,0.6022727272727273,1.1744318181818183
536371,13748.0,['22086'],22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.4602040816326531,1.1735204081632653
536372,17850.0,"['22632', '22633']",0,Null,0.0,0.0
536373,17850.0,"['84406B', '21068', '37370', '22752', '82486', '82483', '21730', '84029G', '85123A', '21871', '71053', '82482', '21071', '82494L', '20679', '84029E']",0,Null,0.0,0.0
536374,15100.0,['21258'],0,Null,0.0,0.0
536375,17850.0,"['84406B', '21068', '37370', '22752', '82486', '82483', '21730', '84029G', '85123A', '21871', '71053', '82482', '21071', '82494L', '20679', '84029E']",0,Null,0.0,0.0
536376,15291.0,"['21733', '22114']",85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.6730486008836524,1.7162739322533134
536377,17850.0,"['22632', '22633']",0,Null,0.0,0.0
536378,14688.0,"['21094', '85071B', '20725', '85099C', '21212', '85183B', '84519A', '22386', '21929', '22352', '20723', '21931', '84997C', '21033', '84991', '21977', '84997B', '21975', '21559']",22384,LUNCH BAG PINK POLKADOT,0.40574088440651673,0.6694724592707526
536380,17809.0,['22961'],0,Null,0.0,0.0
536381,15311.0,"['21169', '22774', '22719', '15056BL', '22644', '37444C', '21175', '21934', '21557', '82567', '22139', '21533', '71270', '22637', '15056N', '22771', '21166', '37444A', '22086', '22262', '22261', '21672', '22778', '21523', '21731', '22646', '22176', '22411', '47580', '22083', '84832', '84971S', '22438', '84854']",22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.4602040816326531,1.1735204081632653
536382,16098.0,"['22798', '21832', '22381', '22926', '10002', '21912', '22839', '22838', '22726', '22411', '22379', '22783']",22727,ALARM CLOCK BAKELIKE RED ,0.6717363751584284,2.5190114068441067
536384,18074.0,"['82484', '22457', '84755', '21324', '22470', '22424', '21340', '22224', '22189', '22469', '22427', '22428', '22464']",0,Null,0.0,0.0
536385,17420.0,"['85049A', '22168', '22961', '22663', '22662', '22960', '22783']",0,Null,0.0,0.0
536386,16029.0,"['85099B', '84880', '85099C']",22386,JUMBO BAG PINK POLKADOT,0.34125,0.6654375
536387,16029.0,"['22780', '22466', '79321', '21731', '22779']",0,Null,0.0,0.0
536388,16250.0,"['21363', '21115', '22969', '21754', '22923', '22922', '22915', '22242', '21523', '22318', '22469', '21755', '21411', '22464']",22470,HEART OF WICKER LARGE,0.4235171696149844,1.0799687825182103
536389,12431.0,"['22727', '22941', '22196', '22195', '22193', '21622', '35004C', '22192', '22726', '22191', '21791', '35004G', '85014B', '85014A']",0,Null,0.0,0.0
536390,17511.0,"['21485', '21094', '85099B', '22968', '22969', '84970S', '22198', '21533', '22963', '84029G', '22961', '22960', '84030E', '21786', '21086', '22197', '20668', '21080', '22174', '22941', '85123A', '22654', '22962', '22910']",22386,JUMBO BAG PINK POLKADOT,0.34125,0.6654375
536392,13705.0,"['22150', '22127', '22128', '21891', '22619', '22827', '22338', '22502', '21889', '84879']",0,Null,0.0,0.0
536393,13747.0,['22180'],0,Null,0.0,0.0
536394,13408.0,"['21485', '22652', '22865', '22633', '85152', '21506', '22866', '85123A', '22558', '22632', '22349']",0,Null,0.0,0.0
536395,13767.0,"['22727', '22867', '22729', '22114', '21977', '84991', '22866', '21212', '21314', '22726', '22730', '21484', '84879', '22188']",0,Null,0.0,0.0
536396,17850.0,"['84406B', '21068', '37370', '22752', '82486', '82483', '22803', '21730', '84029G', '85123A', '15056BL', '71053', '21871', '82482', '21071', '82494L', '20679', '84029E']",0,Null,0.0,0.0
536397,17924.0,"['35004C', '35004B']",0,Null,0.0,0.0
536398,13448.0,"['22865', '22752', '48185', '22637', '22111', '21232', '22468', '21980', '22449', '22114', '22866', '21844', '22112', '22835', '21479', '22632', '22064']",0,Null,0.0,0.0
536399,17850.0,"['22632', '22633']",0,Null,0.0,0.0
536400,13448.0,['22969'],0,Null,0.0,0.0
536401,15862.0,"['21122', '21464', '20966', '20725', '84744', '85049E', '21463', '21169', '22851', '22809', '22451', '22502', '20963', '21743', '84510A', '21907', '20749', '84625A', '22848', '84509A', '21744', '20992', '22382', '22473', '21328', '84625C', '22961', '22766', '22068', '21587', '82578', '84030E', '22767', '22098', '22810', '20961', '22435', '22384', '82483', '84991', '21108', '21033', '22662', '22428', '22110', '48129', '22441', '20820', '20726', '22467', '47570B', '22549', '22768', '21592', '17091A', '85150', '22413', '22100', '84709B', '85123A', '82580', '22117', '82581', '22804']",0,Null,0.0,0.0
536402,15513.0,"['22086', '22837', '22910']",0,Null,0.0,0.0
536403,12791.0,['22867'],0,Null,0.0,0.0
536404,16218.0,"['22417', '21125', '85049E', '85049C', '21212', '84378', '21062', '21063', '22964', '22297', '85049G', '21213', '22772', '85049D', '22771', '20727', '22296', '84380', '22197', '21061', '22805', '22383', '22773', '21126', '84992', '22469', '21975', '20728']",20725,LUNCH BAG RED RETROSPOT,0.4914448669201521,0.810884030418251
536405,14045.0,['20914'],0,Null,0.0,0.0
536406,17850.0,"['84406B', '21068', '37370', '22752', '82486', '82483', '22803', '21730', '84029G', '85123A', '21871', '71053', '82482', '21071', '82494L', '20679', '84029E']",0,Null,0.0,0.0
536407,17850.0,"['22632', '22633']",0,Null,0.0,0.0
536408,14307.0,"['21832', '22178', '21754', '21915', '48194', '21212', '21210', '22537', '84347', '22620', '84970L', '22964', '22553', '22114', '21544', '22766', '21587', '22533', '22813', '84949', '22706', '22619', '22465', '22219', '22736', '20982', '22371', '22610', '22914', '21705', '21755', '21733', '22812', '22716', '20685', '16237', '84997B', '22488', '84375', '22492', '22418', '21914', '84879', '21479', '85014A', '85014B', '22714', '84029E']",85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.6730486008836524,1.7162739322533134
536409,17908.0,"['21866', '22531', '20966', '22568', '85099B', '85099F', '22900', '21824', '20717', '20669', '84625A', '22785', '90210B', '22198', '22153', '84625C', '22972', '22074', '20723', '85116', '84906', '22197', '22975', '21931', '22633', '20668', '16238', '22111', '22112', '21326', '90199C', '21609', '72802C', '21116', '21823', '90129F', '21955', '22075', '21811', '85169B', '21980', '20713', '22664', '22866', '22109', '22183', '21678', '21065', '21676', '21867', '21479']",22386,JUMBO BAG PINK POLKADOT,0.34125,0.6654375
536412,17920.0,"['22759', '22568', '22749', '22968', '22327', '22242', '22900', '22271', '85049E', '21708', '22273', '22468', '20725', '21242', '21244', '22382', '22751', '85184C', '21706', '21710', '22274', '22179', '22961', '21448', '20727', '21243', '22630', '22086', '22652', '22197', '21880', '22940', '22144', '22383', '22077', '22141', '22629', '22902', '22988', '22662', '21731', '21711', '22326', '22328', '22837', '22569', '22243', '21245', '21738', '20750', '22570', '21739', '20728', '21034']",22384,LUNCH BAG PINK POLKADOT,0.40574088440651673,0.6694724592707526
536415,12838.0,"['22472', '22531', '22470', '22534', '22749', '22149', '22147', '22900', '22554', '21212', '22694', '21791', '85049H', '22632', '22595', '22557', '22909', '22775', '22616', '21976', '22738', '22942', '22961', '22186', '22587', '22565', '21790', '22086', '22750', '22940', '22321', '22566', '22736', '22551', '22594', '84032B', '22807', '22529', '21986', '22899', '22941', '22867', '22367', '22130', '22695', '22865', '21916', '22739', '22837', '35591T', '21977', '22951', '22469', '22593', '22834', '22530', '22580', '22952', '22910']",0,Null,0.0,0.0
536416,13255.0,"['21494', '22768', '22938', '21915', '82494L', '22767']",82482,WOODEN PICTURE FRAME WHITE FINISH,0.5770653514180024,1.211837237977805
536420,16583.0,"['22110', '21891', '22115', '21715', '22969', '22113', '22111', '21892', '22357', '21890', '21889', '22358', '21718', '21716']",0,Null,0.0,0.0
536423,18085.0,"['21485', '22837', '22619', '22113', '22111', '21481', '21479', '22632', '84029E']",0,Null,0.0,0.0
536425,13758.0,"['22837', '22650', '22644', '22768', '22637', '22449', '22511', '22585', '22508', '22451', '22961', '79321', '22645', '22829', '22646', '21411', '21556']",0,Null,0.0,0.0
536437,13694.0,"['22059', '21154', '22189', '84678', '17021', '22188']",0,Null,0.0,0.0
536446,15983.0,"['84836', '22618', '20773', '21586', '21591', '84347', '22620', '22152', '22294', '21156', '84625C', '21587', '21890', '21651', '22619', '22144', '72800E', '20774', '20777', '22480', '85172', '21891', '16016', '85169B', '16014', '84754', '22142', '10133']",0,Null,0.0,0.0
536460,14849.0,"['21485', '21259', '84849B', '22926', '21121', '21586', '21977', '84992', '21484', '84879', '22925', '21257', '22927', '22670']",0,Null,0.0,0.0
536463,14849.0,['82552'],0,Null,0.0,0.0
536464,17968.0,"['21992', '21814', '21122', '21816', '22759', '85099B', '85095', '21985', '90059E', '22577', '85099C', '22809', '22945', '22333', '20866', '21212', '90200A', '22663', '10125', '21260', '22386', '22573', '22557', '22295', '21584', '90185C', '22297', '22294', '21124', '90200B', '21121', '21329', '21327', '48173C', '22585', '85231G', '21328', '22582', '16258A', '22558', '22960', '85231B', '22086', '90200C', '22197', '22813', '22619', '22810', '20878', '22988', '21815', '22744', '90059C', '22956', '22812', '22500', '22441', '90200D', '22731', '22082', '22737', '22603', '21738', '22735', '22312', '21980', '21977', '72818', '22866', '22742', '90059B', '84879', '22952', '22910']",0,Null,0.0,0.0
536466,14849.0,"['22960', '22961']",0,Null,0.0,0.0
536477,16210.0,"['21137', '22595', '22633', '22619', '20977', '22411', '20979', '22571', '22423', '22041', '21314', '22593', '22632', '84029E']",85099B,JUMBO BAG RED RETROSPOT,0.5012658227848101,0.8270886075949366
536488,17897.0,"['22087', '21577', '22149', '21370', '21894', '22468', '22376', '84347', '22909', '22651', '47563A', '22738', '21367', '22961', '21621', '22960', '22940', '22144', '20878', '21895', '70007', '22372', '22150', '22082', '22867', '21592', '84558A', '21190', '22713', '21034', '22910']",22086,PAPER CHAIN KIT 50'S CHRISTMAS ,0.6470588235294118,1.65
536500,17377.0,"['21035', '46000M', '22616', '22900', '21754', '22113', '84029E', '21622', '22024', '21488', '22712', '21755', '22895', '22630', '22983']",22629,SPACEBOY LUNCH BOX ,0.6883116883116884,1.3422077922077924
536502,16552.0,"['21441', '85123A', '22423', '84879', '22784']",0,Null,0.0,0.0
536508,17181.0,"['21326', '84947']",0,Null,0.0,0.0
536514,17951.0,"['22485', '22865', '22633', '22866', '22807']",0,Null,0.0,0.0
