antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'20725'}),frozenset({'20726'}),0.07003531649008421,0.044553110567780496,0.023526215702254823,0.3359193173002328,7.539750042574127,1.0,0.0204059245030226,1.4387512155118354,0.9326909116815729,0.25835322195704064,0.30495280266765906,0.43198404889401887
frozenset({'20726'}),frozenset({'20725'}),0.044553110567780496,0.07003531649008421,0.023526215702254823,0.5280487804878049,7.539750042574127,1.0,0.0204059245030226,1.9704678048530517,0.9078156181030311,0.25835322195704064,0.4925062984855135,0.43198404889401887
frozenset({'20725'}),frozenset({'20727'}),0.07003531649008421,0.05715838087476229,0.02809019288236892,0.4010861132660978,7.017100679337005,1.0,0.024087087587744166,1.574252392554963,0.9220683487302254,0.2834429824561403,0.3647778432929482,0.44626549009312494
frozenset({'20727'}),frozenset({'20725'}),0.05715838087476229,0.07003531649008421,0.02809019288236892,0.4914448669201521,7.017100679337005,1.0,0.024087087587744166,1.8286408356120214,0.9094751257342556,0.2834429824561403,0.45314575693301,0.44626549009312494
frozenset({'20725'}),frozenset({'20728'}),0.07003531649008421,0.05248573757131214,0.02493887530562347,0.3560899922420481,6.784509634798029,1.0,0.02126302006360112,1.4715010653862395,0.9168148290709912,0.25556792873051226,0.32042183079390424,0.41562263587257686
frozenset({'20728'}),frozenset({'20725'}),0.05248573757131214,0.07003531649008421,0.02493887530562347,0.4751552795031056,6.784509634798029,1.0,0.02126302006360112,1.7718853733147506,0.8998338559767811,0.25556792873051226,0.4356294063598188,0.41562263587257686
frozenset({'22382'}),frozenset({'20725'}),0.05368106492800869,0.07003531649008421,0.02537353979896767,0.4726720647773279,6.749053027328721,1.0,0.021613969427209823,1.7635414727596868,0.9001521932287231,0.2580110497237569,0.43295918159772845,0.4174842092699673
frozenset({'20725'}),frozenset({'22382'}),0.07003531649008421,0.05368106492800869,0.02537353979896767,0.36229635376260666,6.749053027328721,1.0,0.021613969427209823,1.483947819109242,0.915982165778492,0.2580110497237569,0.32612185743817973,0.4174842092699673
frozenset({'20725'}),frozenset({'22383'}),0.07003531649008421,0.05666938331975007,0.02819885900570497,0.4026377036462374,7.105030618992329,1.0,0.024230000809608375,1.5791599544166783,0.9239648217017193,0.2862658576944291,0.3667519257924778,0.45012038585955205
frozenset({'22383'}),frozenset({'20725'}),0.05666938331975007,0.07003531649008421,0.02819885900570497,0.4976030680728667,7.10503061899233,1.0,0.024230000809608375,1.851055658207714,0.9108732800510672,0.2862658576944291,0.4597677300701748,0.45012038585955205
frozenset({'20725'}),frozenset({'22384'}),0.07003531649008421,0.05058408041293127,0.02841619125237707,0.40574088440651673,8.02111812835869,1.0,0.02487351917129756,1.5976463712111377,0.9412498318749086,0.30819092516205066,0.3740792593282557,0.4837512155652347
frozenset({'22384'}),frozenset({'20725'}),0.05058408041293127,0.07003531649008421,0.02841619125237707,0.5617615467239527,8.02111812835869,1.0,0.02487351917129756,2.1220517655581657,0.9219658991857008,0.30819092516205066,0.5287579614077091,0.4837512155652347
frozenset({'23206'}),frozenset({'20725'}),0.04705243140450965,0.07003531649008421,0.021135560988861723,0.4491916859122402,6.413788191788038,1.0,0.01784022906381891,1.6883635553869751,0.8857632150223863,0.2202718006795017,0.4077105035764653,0.3754880074247004
frozenset({'20725'}),frozenset({'23206'}),0.07003531649008421,0.04705243140450965,0.021135560988861723,0.3017843289371606,6.413788191788038,1.0,0.01784022906381891,1.3648326843550969,0.9076537174735706,0.2202718006795017,0.2673094574427528,0.3754880074247004
frozenset({'23209'}),frozenset({'20725'}),0.05465906003803314,0.07003531649008421,0.022765552838902473,0.41650099403578533,5.9470138054527775,1.0,0.018937488270088308,1.5937725240391403,0.879945367611586,0.22334754797441367,0.3725578870780924,0.3707795893375203
frozenset({'20725'}),frozenset({'23209'}),0.07003531649008421,0.05465906003803314,0.022765552838902473,0.3250581846392553,5.9470138054527775,1.0,0.018937488270088308,1.4006258294379028,0.8944945928414341,0.22334754797441367,0.28603344377754436,0.3707795893375203
frozenset({'20725'}),frozenset({'85099B'}),0.07003531649008421,0.08693289866883999,0.023091551208910623,0.3297129557796742,3.7927293444530643,1.0,0.017003178137237993,1.3622031176109552,0.7917909627043151,0.17248376623376627,0.2658950878384352,0.2976689778898371
frozenset({'22382'}),frozenset({'20726'}),0.05368106492800869,0.044553110567780496,0.022004889975550123,0.409919028340081,9.200682581218524,1.0,0.019613231554416348,1.6191792911818745,0.9418731663473391,0.2886671418389166,0.38240316841621785,0.4519107336822356
frozenset({'20726'}),frozenset({'22382'}),0.044553110567780496,0.05368106492800869,0.022004889975550123,0.49390243902439024,9.200682581218524,1.0,0.019613231554416348,1.8698350042386334,0.9328748898647486,0.2886671418389166,0.46519345411057605,0.4519107336822356
frozenset({'20728'}),frozenset({'20727'}),0.05248573757131214,0.05715838087476229,0.022874218962238523,0.43581780538302284,7.624740216800889,1.0,0.019874219183644643,1.6711651450917058,0.9169761608124636,0.26361928616155295,0.40161509295652253,0.41800395972573196
frozenset({'20727'}),frozenset({'20728'}),0.05715838087476229,0.05248573757131214,0.022874218962238523,0.40019011406844107,7.624740216800888,1.0,0.019874219183644643,1.5796909731774638,0.9215206170926383,0.26361928616155295,0.36696479439358093,0.41800395972573196
frozenset({'22382'}),frozenset({'20727'}),0.05368106492800869,0.05715838087476229,0.022711219777234448,0.42307692307692313,7.401835331968413,1.0,0.01964289702231648,1.6342588064837456,0.913960759341709,0.25770653514180025,0.3881018134749479,0.4102076630593741
frozenset({'20727'}),frozenset({'22382'}),0.05715838087476229,0.05368106492800869,0.022711219777234448,0.3973384030418251,7.401835331968412,1.0,0.01964289702231648,1.570232680908099,0.9173315591226039,0.25770653514180025,0.3631517085597285,0.4102076630593741
frozenset({'22383'}),frozenset({'20727'}),0.05666938331975007,0.05715838087476229,0.02526487367563162,0.44582933844678807,7.799894462084729,1.0,0.022025743479903444,1.7013560704976174,0.924164997590833,0.28527607361963186,0.4122335604283487,0.4439222737861317
frozenset({'20727'}),frozenset({'22383'}),0.05715838087476229,0.05666938331975007,0.02526487367563162,0.44201520912547526,7.799894462084729,1.0,0.022025743479903444,1.690602740626274,0.9246443086597155,0.28527607361963186,0.40849498467655637,0.4439222737861317
frozenset({'22384'}),frozenset({'20727'}),0.05058408041293127,0.05715838087476229,0.025210540613963595,0.49838882921589683,8.719435743078499,1.0,0.022319236479521668,1.8796264398406772,0.9324824468274048,0.30546412113232385,0.46797939271126504,0.4697267339995834
frozenset({'20727'}),frozenset({'22384'}),0.05715838087476229,0.05058408041293127,0.025210540613963595,0.44106463878326996,8.7194357430785,1.0,0.022319236479521668,1.6986148765401297,0.9389845142547151,0.30546412113232385,0.41128503358166896,0.4697267339995834
frozenset({'22382'}),frozenset({'20728'}),0.05368106492800869,0.05248573757131214,0.021244227112197773,0.39574898785425106,7.540124349334877,1.0,0.01842673682583774,1.5680805549071084,0.9165791366784988,0.25015994881637876,0.3622776604998848,0.4002554463080779
frozenset({'20728'}),frozenset({'22382'}),0.05248573757131214,0.05368106492800869,0.021244227112197773,0.40476190476190477,7.540124349334876,1.0,0.01842673682583774,1.5898158109209453,0.9154228352273304,0.25015994881637876,0.37099631722701143,0.4002554463080779
frozenset({'22383'}),frozenset({'20728'}),0.05666938331975007,0.05248573757131214,0.0245585438739473,0.4333652924256951,8.256820090160371,1.0,0.021584209492698802,1.672178300699021,0.9316860746641276,0.2903018625561978,0.40197764820774806,0.45063709755860326
frozenset({'20728'}),frozenset({'22383'}),0.05248573757131214,0.05666938331975007,0.0245585438739473,0.4679089026915114,8.256820090160371,1.0,0.021584209492698802,1.7728742718154116,0.9275723165501797,0.2903018625561978,0.4359442088490535,0.45063709755860326
frozenset({'22384'}),frozenset({'20728'}),0.05058408041293127,0.05248573757131214,0.023200217332246673,0.4586466165413534,8.738499976649699,1.0,0.02054527456240741,1.7502694014307707,0.9327459813831134,0.29047619047619044,0.4286593828455536,0.4503378010242999
frozenset({'20728'}),frozenset({'22384'}),0.05248573757131214,0.05058408041293127,0.023200217332246673,0.4420289855072464,8.738499976649699,1.0,0.02054527456240741,1.7015506091300712,0.9346179986632561,0.29047619047619044,0.4123007598867386,0.4503378010242999
frozenset({'21733'}),frozenset({'85123A'}),0.03689214887258897,0.10747079597935344,0.02483020918228742,0.6730486008836524,6.262618553722761,1.0,0.020865380577561477,2.7298528357208056,0.8725111970671473,0.20772727272727273,0.633679886726951,0.4520450284499151
frozenset({'21931'}),frozenset({'85099B'}),0.042053789731051346,0.08693289866883999,0.02358054876392285,0.5607235142118864,6.450072674418605,1.0,0.019924690922592657,2.078570401265641,0.8820568191708833,0.22371134020618558,0.5189001058655024,0.4159867571059432
frozenset({'22086'}),frozenset({'22910'}),0.05324640043466449,0.03787014398261342,0.024504210812279274,0.4602040816326531,12.152160864345738,1.0,0.02248776196126264,1.7823955744745539,0.9693230729098734,0.36786296900489396,0.43895731434656543,0.5536314525810324
frozenset({'22910'}),frozenset({'22086'}),0.03787014398261342,0.05324640043466449,0.024504210812279274,0.6470588235294118,12.15216086434574,1.0,0.02248776196126264,2.6824685321017845,0.9538318582253528,0.36786296900489396,0.627209047176977,0.5536314525810324
frozenset({'22382'}),frozenset({'22383'}),0.05368106492800869,0.05666938331975007,0.024286878565607174,0.4524291497975709,7.983661075766339,1.0,0.02124480572018946,1.722755359112915,0.9243650839218389,0.2821969696969697,0.4195345295486863,0.44050028918449974
frozenset({'22383'}),frozenset({'22382'}),0.05666938331975007,0.05368106492800869,0.024286878565607174,0.4285714285714286,7.9836610757663395,1.0,0.02124480572018946,1.6560581363759848,0.9272933225818838,0.2821969696969697,0.396156464537931,0.44050028918449974
frozenset({'22383'}),frozenset({'22384'}),0.05666938331975007,0.05058408041293127,0.021733224667209998,0.3835091083413231,7.581616690678896,1.0,0.018866656024412534,1.5400323547889778,0.9202521310908881,0.2541296060991105,0.3506629929622326,0.4065773253844102
frozenset({'22384'}),frozenset({'22383'}),0.05058408041293127,0.05666938331975007,0.021733224667209998,0.4296455424274973,7.581616690678895,1.0,0.018866656024412534,1.6539374842359937,0.9143537541490213,0.2541296060991105,0.395382226032605,0.4065773253844102
frozenset({'22386'}),frozenset({'85099B'}),0.04732409671284977,0.08693289866883999,0.029665851670741646,0.6268656716417911,7.210914179104478,1.0,0.025551830766609093,2.447019831567509,0.9041073940697529,0.2836363636363637,0.5913396421640681,0.48405783582089557
frozenset({'85099B'}),frozenset({'22386'}),0.08693289866883999,0.04732409671284977,0.029665851670741646,0.34125,7.210914179104478,1.0,0.025551830766609093,1.44618732946816,0.9433275244045848,0.2836363636363637,0.3085266482263032,0.48405783582089557
frozenset({'22411'}),frozenset({'85099B'}),0.042923118717739746,0.08693289866883999,0.021515892420537898,0.5012658227848101,5.766123417721519,1.0,0.01778446129049804,1.8307690610447116,0.8636435315402106,0.19859578736208625,0.4537814619669402,0.3743829113924051
frozenset({'22697'}),frozenset({'22423'}),0.03754414561260527,0.0925835370823146,0.020320565063841348,0.5412445730824891,5.8460131265159685,1.0,0.016844595266292887,1.9779961384104747,0.8612792443693891,0.1850569025235032,0.4944378401043777,0.3803640705788032
frozenset({'22699'}),frozenset({'22423'}),0.04254278728606357,0.0925835370823146,0.022819885900570498,0.5363984674329503,5.793670066375264,1.0,0.01888112417628621,1.9573198084422805,0.8641616810156135,0.20319303338171263,0.48909728717462725,0.39143867033619345
frozenset({'22470'}),frozenset({'22469'}),0.04352078239608802,0.05221407226297202,0.022113556098886173,0.5081148564294632,9.731377661378012,1.0,0.019841158821915752,1.9268439799932982,0.9380649472674013,0.3003690036900369,0.4810166207626846,0.4658160130222238
frozenset({'22469'}),frozenset({'22470'}),0.05221407226297202,0.04352078239608802,0.022113556098886173,0.4235171696149844,9.731377661378014,1.0,0.019841158821915752,1.6591634081540785,0.946669074277421,0.3003690036900369,0.3972866113817194,0.4658160130222238
frozenset({'22629'}),frozenset({'22630'}),0.038250475414289595,0.033469165987503394,0.023037218147242598,0.6022727272727273,17.994853158205434,1.0,0.021757006636500823,2.4301346683742775,0.9819901444647089,0.47321428571428575,0.588500171198749,0.6452922077922079
frozenset({'22630'}),frozenset({'22629'}),0.033469165987503394,0.038250475414289595,0.023037218147242598,0.6883116883116884,17.994853158205434,1.0,0.021757006636500823,3.085613058045822,0.9771323597262248,0.47321428571428575,0.6759152942419425,0.6452922077922079
frozenset({'22697'}),frozenset({'22698'}),0.03754414561260527,0.030209182287421896,0.024993208367291495,0.6657018813314036,22.03640849982821,1.0,0.023859030428654792,2.90097599584152,0.9918590552302037,0.5844980940279542,0.6552884265731684,0.7465200054139032
frozenset({'22698'}),frozenset({'22697'}),0.030209182287421896,0.03754414561260527,0.024993208367291495,0.8273381294964028,22.03640849982821,1.0,0.023859030428654792,5.57422348999366,0.9843571799175207,0.5844980940279542,0.8206028154782259,0.7465200054139032
frozenset({'22697'}),frozenset({'22699'}),0.03754414561260527,0.04254278728606357,0.02939418636240152,0.7829232995658465,18.4031970989903,1.0,0.027796953761767457,4.410686226568865,0.9825506397917873,0.579849946409432,0.7732779099142779,0.7369278055939066
frozenset({'22699'}),frozenset({'22697'}),0.04254278728606357,0.03754414561260527,0.02939418636240152,0.6909323116219668,18.4031970989903,1.0,0.027796953761767457,3.1140617106831816,0.987680287894207,0.579849946409432,0.678875984836982,0.7369278055939066
